date,from_,to,buy,sell
24-03-2022,UAH,EUR,32.08,32.626514232199995
24-03-2022,UAH,EUR,32.08,32.626514232199995
25-03-2022,UAH,EUR,32.08,32.6797385621
26-03-2022,UAH,EUR,32.13,32.6797385621
27-03-2022,UAH,EUR,32.13,32.6797385621
28-03-2022,UAH,EUR,32.13,32.6797385621
29-03-2022,UAH,EUR,32.03,32.626514232199995
29-03-2022,UAH,EUR,32.03,32.626514232199995
30-03-2022,UAH,EUR,32.38,33.00330033
31-03-2022,UAH,EUR,32.445,33.00330033
31-03-2022,UAH,EUR,32.445,33.00330033
01-04-2022,UAH,EUR,32.343333333333334,32.894974139333335
01-04-2022,UAH,EUR,32.343333333333334,32.894974139333335
01-04-2022,UAH,EUR,32.343333333333334,32.894974139333335
02-04-2022,UAH,EUR,32.24,32.7868852459
03-04-2022,UAH,EUR,32.24,32.7868852459
04-04-2022,UAH,EUR,32.17,32.733311904000004
04-04-2022,UAH,EUR,32.17,32.733311904000004
05-04-2022,UAH,EUR,32.1,32.6797385621
06-04-2022,UAH,EUR,31.95,32.5204111849
06-04-2022,UAH,EUR,31.95,32.5204111849
07-04-2022,UAH,EUR,31.87,32.4675324675
08-04-2022,UAH,EUR,31.835,32.4149960072
08-04-2022,UAH,EUR,31.835,32.4149960072
09-04-2022,UAH,EUR,31.71,32.2580645161
10-04-2022,UAH,EUR,31.71,32.2580645161
11-04-2022,UAH,EUR,31.72,32.2580645161
11-04-2022,UAH,EUR,31.72,32.2580645161
12-04-2022,UAH,EUR,31.83,32.3624595469
13-04-2022,UAH,EUR,31.72,32.2928628597
13-04-2022,UAH,EUR,31.72,32.2928628597
13-04-2022,UAH,EUR,31.72,32.2928628597
14-04-2022,UAH,EUR,31.643333333333334,32.22371373963333
14-04-2022,UAH,EUR,31.643333333333334,32.22371373963333
14-04-2022,UAH,EUR,31.643333333333334,32.22371373963333
15-04-2022,UAH,EUR,31.71666666666667,32.397483853766666
15-04-2022,UAH,EUR,31.71666666666667,32.397483853766666
15-04-2022,UAH,EUR,31.71666666666667,32.397483853766666
16-04-2022,UAH,EUR,31.7,32.4675324675
17-04-2022,UAH,EUR,31.7,32.4675324675
18-04-2022,UAH,EUR,31.7,32.4149960072
18-04-2022,UAH,EUR,31.7,32.4149960072
19-04-2022,UAH,EUR,31.46,32.3624595469
19-04-2022,UAH,EUR,31.46,32.3624595469
20-04-2022,UAH,EUR,31.450000000000003,32.3627984918
20-04-2022,UAH,EUR,31.450000000000003,32.3627984918
21-04-2022,UAH,EUR,31.55,32.5204111849
21-04-2022,UAH,EUR,31.55,32.5204111849
22-04-2022,UAH,EUR,31.665,32.6797385621
22-04-2022,UAH,EUR,31.665,32.6797385621
23-04-2022,UAH,EUR,31.5,32.4675324675
24-04-2022,UAH,EUR,31.5,32.4675324675
25-04-2022,UAH,EUR,31.383333333333336,32.397483853766666
25-04-2022,UAH,EUR,31.383333333333336,32.397483853766666
25-04-2022,UAH,EUR,31.383333333333336,32.397483853766666
26-04-2022,UAH,EUR,31.2,32.1546732837
26-04-2022,UAH,EUR,31.2,32.1546732837
27-04-2022,UAH,EUR,31.03333333333333,31.94909919946667
27-04-2022,UAH,EUR,31.03333333333333,31.94909919946667
27-04-2022,UAH,EUR,31.03333333333333,31.94909919946667
28-04-2022,UAH,EUR,30.700000000000003,31.5956554726
28-04-2022,UAH,EUR,30.700000000000003,31.5956554726
29-04-2022,UAH,EUR,30.55,31.5956554726
29-04-2022,UAH,EUR,30.55,31.5956554726
30-04-2022,UAH,EUR,30.64345,31.6455696203
30-04-2022,UAH,EUR,30.64345,31.6455696203
01-05-2022,UAH,EUR,30.6869,31.6455696203
02-05-2022,UAH,EUR,30.8478,31.7972257047
02-05-2022,UAH,EUR,30.8478,31.7972257047
03-05-2022,UAH,EUR,30.7659,32.05161131255
03-05-2022,UAH,EUR,30.7659,32.05161131255
04-05-2022,UAH,EUR,30.8288,32.626514232199995
04-05-2022,UAH,EUR,30.8288,32.626514232199995
05-05-2022,UAH,EUR,30.801,32.84151944605
05-05-2022,UAH,EUR,30.801,32.84151944605
06-05-2022,UAH,EUR,30.8595,32.94901858605
06-05-2022,UAH,EUR,30.8595,32.94901858605
07-05-2022,UAH,EUR,30.8595,33.1125827815
08-05-2022,UAH,EUR,30.8595,33.1125827815
09-05-2022,UAH,EUR,30.9063,33.1125827815
10-05-2022,UAH,EUR,30.863925000000002,33.812414109025
10-05-2022,UAH,EUR,30.863925000000002,33.812414109025
10-05-2022,UAH,EUR,30.863925000000002,33.812414109025
10-05-2022,UAH,EUR,30.863925000000002,33.812414109025
11-05-2022,UAH,EUR,30.8727,33.7837837838
12-05-2022,UAH,EUR,30.8537,33.55742486175
12-05-2022,UAH,EUR,30.8537,33.55742486175
13-05-2022,UAH,EUR,30.4178,33.3333333333
14-05-2022,UAH,EUR,30.4178,33.2225913621
15-05-2022,UAH,EUR,30.4178,33.2225913621
16-05-2022,UAH,EUR,30.3768,33.2779623477
